ID,YEAR/MONTH/DAY,ELEMENT,DATA VALUE,M-FLAG,Q-FLAG,S-FLAG,OBS-TIME
US1CAHM0088,20240101,PRCP,13,,,N,800.0
US1CAHM0091,20240101,PRCP,0,,,N,700.0
US1CAHM0091,20240101,SNOW,0,,,N,700.0
US1CAHM0092,20240101,PRCP,8,,,N,700.0
US1CAHM0094,20240101,PRCP,5,,,N,800.0
US1CAHM0094,20240101,SNOW,0,,,N,800.0
US1CAHM0094,20240101,SNWD,0,,,N,800.0
US1CAHM0094,20240101,WESD,0,,,N,800.0
US1CAHM0094,20240101,WESF,0,,,N,800.0
US1CAHM0095,20240101,PRCP,3,,,N,800.0
US1CAHM0097,20240101,PRCP,15,,,N,700.0
US1CAHM0098,20240101,PRCP,15,,,N,800.0
US1CAHM0111,20240101,PRCP,3,,,N,800.0
US1CAHM0113,20240101,PRCP,0,,,N,900.0
US1CAHM0113,20240101,SNOW,0,,,N,900.0
US1CAHM0115,20240101,PRCP,5,,,N,900.0
US1CAHM0117,20240101,PRCP,13,,,N,800.0
US1CAHM0118,20240101,PRCP,8,,,N,700.0
US1CAHM0119,20240101,PRCP,8,,,N,800.0
US1CAHM0123,20240101,DAPR,2,,,N,800.0
US1CAHM0123,20240101,MDPR,28,,,N,800.0
US1CAHM0125,20240101,DAPR,2,,,N,800.0
US1CAHM0125,20240101,MDPR,10,,,N,800.0
US1CAHM0126,20240101,PRCP,3,,,N,700.0
US1CAHM0127,20240101,PRCP,8,,,N,740.0
US1CAHM0128,20240101,PRCP,5,,,N,758.0
US1CAHM0138,20240101,PRCP,10,,,N,745.0
US1CAHM0139,20240101,PRCP,15,,,N,800.0
US1CAHM0145,20240101,PRCP,0,,,N,800.0
US1CAHM0145,20240101,SNOW,0,,,N,800.0
US1CAHM0147,20240101,DAPR,5,,,N,800.0
US1CAHM0147,20240101,MDPR,500,,,N,800.0
US1CAHM0148,20240101,DAPR,3,,,N,900.0
US1CAHM0148,20240101,MDPR,201,,,N,900.0
US1CAHM0149,20240101,PRCP,0,,,N,900.0
US1CAHM0149,20240101,SNOW,0,,,N,900.0
US1CAHM0150,20240101,PRCP,15,,,N,730.0
US1CAHM0157,20240101,PRCP,8,,,N,946.0
US1CAHM0159,20240101,PRCP,15,,,N,800.0
US1CAHM0161,20240101,PRCP,3,,,N,700.0
US1CAIN0007,20240101,PRCP,0,,,N,700.0
US1CAIN0007,20240101,SNOW,0,,,N,700.0
US1CAIN0012,20240101,PRCP,0,,,N,700.0
US1CAIN0012,20240101,SNOW,0,,,N,700.0
US1CAIN0013,20240101,PRCP,0,,,N,700.0
US1CAIN0013,20240101,SNOW,0,,,N,700.0
US1CAKN0001,20240101,PRCP,0,,,N,700.0
US1CAKN0001,20240101,SNOW,0,,,N,700.0
US1CAKN0001,20240101,SNWD,0,,,N,700.0
US1CAKN0001,20240101,WESD,0,,,N,700.0
US1CAKN0001,20240101,WESF,0,,,N,700.0
US1CAKN0013,20240101,PRCP,0,,,N,800.0
US1CAKN0013,20240101,SNOW,0,,,N,800.0
US1CAKN0017,20240101,PRCP,0,T,,N,700.0
US1CAKN0022,20240101,PRCP,0,,,N,700.0
US1CAKN0022,20240101,SNOW,0,,,N,700.0
US1CAKN0026,20240101,PRCP,0,,,N,700.0
US1CAKN0026,20240101,SNOW,0,,,N,700.0
US1CAKN0031,20240101,PRCP,0,,,N,800.0
US1CAKN0031,20240101,SNOW,0,,,N,800.0
US1CALA0010,20240101,PRCP,0,,,N,700.0
US1CALA0010,20240101,SNOW,0,,,N,700.0
US1CALA0014,20240101,PRCP,0,,,N,700.0
US1CALA0014,20240101,SNOW,0,,,N,700.0
US1CALA0021,20240101,PRCP,3,,,N,800.0
US1CALA0036,20240101,PRCP,0,,,N,1800.0
US1CALA0036,20240101,SNOW,0,,,N,1800.0
US1CALA0043,20240101,PRCP,0,,,N,700.0
US1CALA0043,20240101,SNOW,0,,,N,700.0
US1CALA0048,20240101,PRCP,0,,,N,735.0
US1CALA0048,20240101,SNOW,0,,,N,735.0
US1CALA0064,20240101,PRCP,0,,,N,700.0
US1CALA0064,20240101,SNOW,0,,,N,700.0
US1CALA0068,20240101,PRCP,3,,,N,700.0
US1CALA0081,20240101,PRCP,0,,,N,700.0
US1CALA0081,20240101,SNOW,0,,,N,700.0
US1CALA0083,20240101,PRCP,0,,,N,600.0
US1CALA0083,20240101,SNOW,0,,,N,600.0
US1CALA0089,20240101,PRCP,0,T,,N,700.0
US1CALA0090,20240101,PRCP,3,,,N,700.0
US1CALA0092,20240101,PRCP,0,T,,N,700.0
US1CALA0092,20240101,SNOW,0,,,N,700.0
US1CALA0092,20240101,SNWD,0,,,N,700.0
US1CALA0092,20240101,WESD,0,,,N,700.0
US1CALA0092,20240101,WESF,0,,,N,700.0
US1CALA0096,20240101,PRCP,0,,,N,700.0
US1CALA0096,20240101,SNOW,0,,,N,700.0
US1CALA0106,20240101,PRCP,38,,,N,700.0
US1CALA0113,20240101,PRCP,0,,,N,800.0
US1CALA0113,20240101,SNOW,0,,,N,800.0
US1CALA0120,20240101,PRCP,0,T,,N,700.0
US1CALA0123,20240101,PRCP,3,,,N,800.0
US1CALA0129,20240101,PRCP,0,,,N,700.0
US1CALA0129,20240101,SNOW,0,,,N,700.0
US1CALA0132,20240101,PRCP,0,,,N,700.0
US1CALA0132,20240101,SNOW,0,,,N,700.0
US1CALK0006,20240101,PRCP,10,,,N,700.0
US1CALK0009,20240101,PRCP,0,T,,N,700.0
US1CALK0014,20240101,DAPR,3,,,N,946.0
US1CALK0014,20240101,MDPR,231,,,N,946.0
US1CALK0018,20240101,PRCP,0,T,,N,700.0
US1CALK0018,20240101,SNOW,0,,,N,700.0
US1CALK0019,20240101,PRCP,0,,,N,700.0
US1CALK0019,20240101,SNOW,0,,,N,700.0
US1CALK0020,20240101,PRCP,15,,,N,756.0
US1CALK0021,20240101,PRCP,13,,,N,700.0
US1CALK0021,20240101,SNOW,0,,,N,700.0
US1CALK0022,20240101,PRCP,0,,,N,700.0
US1CALK0022,20240101,SNOW,0,,,N,700.0
US1CALS0001,20240101,PRCP,0,,,N,700.0
US1CALS0001,20240101,SNOW,0,,,N,700.0
US1CALS0001,20240101,SNWD,0,,,N,700.0
US1CALS0002,20240101,PRCP,0,,,N,1700.0
US1CALS0002,20240101,SNOW,0,,,N,1700.0
US1CAMA0002,20240101,PRCP,0,,,N,600.0
US1CAMA0002,20240101,SNOW,0,,,N,600.0
US1CAMA0003,20240101,PRCP,0,,,N,800.0
US1CAMA0003,20240101,SNOW,0,,,N,800.0
US1CAMA0004,20240101,PRCP,5,,,N,700.0
US1CAMA0004,20240101,SNOW,0,,,N,700.0
US1CAMA0004,20240101,SNWD,0,,,N,700.0
US1CAMA0004,20240101,WESD,0,,,N,700.0
US1CAMA0004,20240101,WESF,0,,,N,700.0
US1CAMA0007,20240101,PRCP,0,,,N,800.0
US1CAMA0007,20240101,SNOW,0,,,N,800.0
US1CAMA0008,20240101,PRCP,0,,,N,700.0
US1CAMA0008,20240101,SNOW,0,,,N,700.0
US1CAMA0009,20240101,PRCP,3,,,N,700.0
US1CAMA0012,20240101,PRCP,0,,,N,700.0
US1CAMA0012,20240101,SNOW,0,,,N,700.0
US1CAMA0017,20240101,PRCP,10,,,N,900.0
US1CAMA0019,20240101,PRCP,0,,,N,700.0
US1CAMA0019,20240101,SNOW,0,,,N,700.0
US1CAMD0001,20240101,PRCP,3,,,N,700.0
US1CAMD0003,20240101,PRCP,0,,,N,900.0
US1CAMD0003,20240101,SNOW,0,,,N,900.0
US1CAMD0007,20240101,PRCP,5,,,N,700.0
US1CAMD0014,20240101,PRCP,0,,,N,700.0
US1CAMD0014,20240101,SNOW,0,,,N,700.0
US1CAMD0017,20240101,PRCP,0,T,,N,700.0
US1CAMD0017,20240101,SNOW,0,,,N,700.0
US1CAMD0026,20240101,PRCP,0,,,N,700.0
US1CAMD0026,20240101,SNOW,0,,,N,700.0
US1CAMD0033,20240101,PRCP,0,,,N,800.0
US1CAMD0033,20240101,SNOW,0,,,N,800.0
US1CAMD0039,20240101,PRCP,0,,,N,700.0
US1CAMD0039,20240101,SNOW,0,,,N,700.0
US1CAMD0042,20240101,PRCP,0,,,N,700.0
US1CAMD0042,20240101,SNOW,0,,,N,700.0
US1CAMD0042,20240101,WESF,0,,,N,700.0
US1CAMD0045,20240101,PRCP,0,,,N,635.0
US1CAMD0045,20240101,SNOW,0,,,N,635.0
US1CAMD0046,20240101,PRCP,3,,,N,825.0
US1CAMD0050,20240101,PRCP,0,,,N,700.0
US1CAMD0050,20240101,SNOW,0,,,N,700.0
US1CAMD0056,20240101,PRCP,0,,,N,830.0
US1CAMD0056,20240101,SNOW,0,,,N,830.0
US1CAMD0057,20240101,PRCP,0,,,N,1700.0
US1CAMD0057,20240101,SNOW,0,,,N,1700.0
US1CAMD0057,20240101,WESF,0,,,N,1700.0
US1CAMN0006,20240101,SNWD,0,,,N,700.0
US1CAMN0006,20240101,DAPR,6,,,N,700.0
US1CAMN0006,20240101,MDPR,5,,,N,700.0
US1CAMP0001,20240101,PRCP,0,,,N,700.0
US1CAMP0001,20240101,SNOW,0,,,N,700.0
US1CAMP0002,20240101,PRCP,0,,,N,700.0
US1CAMP0002,20240101,SNOW,0,,,N,700.0
US1CAMR0005,20240101,PRCP,0,,,N,800.0
US1CAMR0005,20240101,SNOW,0,,,N,800.0
US1CAMR0009,20240101,PRCP,0,,,N,700.0
US1CAMR0009,20240101,SNOW,0,,,N,700.0
US1CAMR0013,20240101,PRCP,0,,,N,700.0
US1CAMR0013,20240101,SNOW,0,,,N,700.0
US1CAMR0016,20240101,PRCP,0,,,N,700.0
US1CAMR0016,20240101,SNOW,0,,,N,700.0
US1CAMR0025,20240101,PRCP,3,,,N,800.0
US1CAMR0026,20240101,PRCP,0,T,,N,700.0
US1CAMR0030,20240101,PRCP,0,,,N,2200.0
US1CAMR0030,20240101,SNOW,0,,,N,2200.0
US1CAMR0032,20240101,PRCP,0,,,N,700.0
US1CAMR0032,20240101,SNOW,0,,,N,700.0
US1CAMT0003,20240101,PRCP,0,,,N,700.0
US1CAMT0003,20240101,SNOW,0,,,N,700.0
US1CAMT0006,20240101,PRCP,0,,,N,700.0
US1CAMT0006,20240101,SNOW,0,,,N,700.0
US1CAMT0009,20240101,DAPR,2,,,N,1400.0
US1CAMT0009,20240101,MDPR,28,,,N,1400.0
US1CAMT0020,20240101,PRCP,0,,,N,800.0
US1CAMT0020,20240101,SNOW,0,,,N,800.0
US1CAMT0033,20240101,PRCP,0,,,N,930.0
US1CAMT0033,20240101,SNOW,0,,,N,930.0
US1CAMT0041,20240101,PRCP,0,,,N,1800.0
US1CAMT0041,20240101,SNOW,0,,,N,1800.0
US1CAMT0042,20240101,PRCP,25,,,N,700.0
US1CAMT0048,20240101,PRCP,0,,,N,700.0
US1CAMT0048,20240101,SNOW,0,,,N,700.0
US1CANV0001,20240101,PRCP,0,,,N,700.0
US1CANV0001,20240101,SNOW,0,,,N,700.0
US1CANV0014,20240101,PRCP,0,,,N,700.0
US1CANV0014,20240101,SNOW,0,,,N,700.0
US1CANV0035,20240101,PRCP,0,,,N,800.0
US1CANV0035,20240101,SNOW,0,,,N,800.0
US1CANV0036,20240101,PRCP,0,,,N,700.0
US1CANV0036,20240101,SNOW,0,,,N,700.0
US1CANV0041,20240101,PRCP,0,,,N,700.0
US1CANV0041,20240101,SNOW,0,,,N,700.0
US1CANV0047,20240101,PRCP,0,,,N,845.0
US1CANV0047,20240101,SNOW,0,,,N,845.0
US1CANV0050,20240101,PRCP,0,,,N,700.0
US1CANV0050,20240101,SNOW,0,,,N,700.0
US1CANV0051,20240101,PRCP,0,,,N,700.0
US1CANV0051,20240101,SNOW,0,,,N,700.0
US1CANV0051,20240101,WESF,0,,,N,700.0
US1CANV0053,20240101,PRCP,0,,,N,800.0
US1CANV0053,20240101,SNOW,0,,,N,800.0
US1CANV0056,20240101,PRCP,0,,,N,700.0
US1CANV0056,20240101,SNOW,0,,,N,700.0
US1CANV0057,20240101,PRCP,0,,,N,700.0
US1CANV0057,20240101,SNOW,0,,,N,700.0
US1CAOR0001,20240101,PRCP,3,,,N,600.0
US1CAOR0005,20240101,PRCP,51,,,N,600.0
US1CAOR0006,20240101,PRCP,0,,,N,700.0
US1CAOR0006,20240101,SNOW,0,,,N,700.0
US1CAOR0021,20240101,PRCP,0,,,N,800.0
US1CAOR0021,20240101,SNOW,0,,,N,800.0
US1CAOR0025,20240101,PRCP,3,,,N,700.0
US1CAOR0026,20240101,PRCP,0,,,N,800.0
US1CAOR0026,20240101,SNOW,0,,,N,800.0
US1CAOR0027,20240101,PRCP,0,,,N,1016.0
US1CAOR0027,20240101,SNOW,0,,,N,1016.0
US1CAOR0031,20240101,PRCP,5,,,N,700.0
US1CAOR0039,20240101,PRCP,5,,,N,800.0
US1CAOR0042,20240101,PRCP,13,,,N,800.0
US1CAOR0043,20240101,PRCP,20,,,N,700.0
US1CAOR0049,20240101,PRCP,8,,,N,700.0
US1CAOR0058,20240101,PRCP,3,,,N,700.0
US1CAOR0061,20240101,PRCP,3,,,N,800.0
US1CAOR0061,20240101,SNOW,0,,,N,800.0
US1CAOR0067,20240101,PRCP,0,T,,N,930.0
US1CAOR0070,20240101,PRCP,0,,,N,700.0
US1CAOR0070,20240101,SNOW,0,,,N,700.0
US1CAOR0072,20240101,PRCP,0,,,N,600.0
US1CAOR0072,20240101,SNOW,0,,,N,600.0
US1CAOR0077,20240101,PRCP,0,,,N,600.0
US1CAOR0077,20240101,SNOW,0,,,N,600.0
US1CAOR0106,20240101,PRCP,0,,,N,700.0
US1CAOR0106,20240101,SNOW,0,,,N,700.0
US1CAPC0013,20240101,PRCP,0,,,N,700.0
US1CAPC0013,20240101,SNOW,0,,,N,700.0
US1CAPC0034,20240101,PRCP,0,,,N,700.0
US1CAPC0034,20240101,SNOW,0,,,N,700.0
US1CAPC0035,20240101,PRCP,0,,,N,700.0
US1CAPC0035,20240101,SNOW,0,,,N,700.0
US1CAPC0037,20240101,PRCP,0,,,N,700.0
US1CAPC0037,20240101,SNOW,0,,,N,700.0
US1CAPC0045,20240101,PRCP,0,T,,N,700.0
US1CAPC0047,20240101,PRCP,0,,,N,700.0
US1CAPC0047,20240101,SNOW,0,,,N,700.0
US1CAPC0054,20240101,PRCP,0,,,N,800.0
US1CAPC0054,20240101,SNOW,0,,,N,800.0
US1CAPC0057,20240101,PRCP,0,,,N,800.0
US1CAPC0057,20240101,SNOW,0,,,N,800.0
US1CAPM0002,20240101,PRCP,0,,,N,700.0
US1CAPM0002,20240101,SNOW,0,,,N,700.0
US1CAPM0003,20240101,PRCP,0,,,N,700.0
US1CAPM0003,20240101,SNOW,0,,,N,700.0
US1CAPM0009,20240101,PRCP,0,,,N,900.0
US1CAPM0009,20240101,SNOW,0,,,N,900.0
US1CAPM0009,20240101,SNWD,0,,,N,900.0
US1CARV0003,20240101,PRCP,0,,,N,700.0
US1CARV0003,20240101,SNOW,0,,,N,700.0
US1CARV0005,20240101,PRCP,0,,,N,800.0
US1CARV0005,20240101,SNOW,0,,,N,800.0
US1CARV0015,20240101,PRCP,0,,,N,900.0
US1CARV0015,20240101,SNOW,0,,,N,900.0
US1CARV0018,20240101,PRCP,0,,,N,700.0
US1CARV0018,20240101,SNOW,0,,,N,700.0
US1CARV0019,20240101,PRCP,38,,,N,700.0
US1CARV0034,20240101,PRCP,0,T,,N,600.0
US1CARV0036,20240101,PRCP,0,,,N,900.0
US1CARV0036,20240101,SNOW,0,,,N,900.0
US1CARV0043,20240101,PRCP,0,,,N,700.0
US1CARV0043,20240101,SNOW,0,,,N,700.0
US1CARV0050,20240101,PRCP,0,,,N,700.0
US1CARV0050,20240101,SNOW,0,,,N,700.0
US1CARV0060,20240101,PRCP,3,,,N,700.0
US1CARV0061,20240101,PRCP,0,,,N,700.0
US1CARV0061,20240101,SNOW,0,,,N,700.0
US1CARV0072,20240101,PRCP,0,,,N,700.0
US1CARV0072,20240101,SNOW,0,,,N,700.0
US1CARV0077,20240101,PRCP,0,,,N,700.0
US1CARV0077,20240101,SNOW,0,,,N,700.0
US1CARV0078,20240101,PRCP,0,T,,N,900.0
US1CARV0079,20240101,PRCP,0,,,N,800.0
US1CARV0079,20240101,SNOW,0,,,N,800.0
US1CARV0081,20240101,PRCP,0,,,N,700.0
US1CARV0081,20240101,SNOW,0,,,N,700.0
US1CARV0091,20240101,PRCP,0,,,N,700.0
US1CARV0091,20240101,SNOW,0,,,N,700.0
US1CASA0002,20240101,PRCP,0,,,N,545.0
US1CASA0002,20240101,SNOW,0,,,N,545.0
US1CASA0005,20240101,PRCP,0,,,N,600.0
US1CASA0005,20240101,SNOW,0,,,N,600.0
US1CASA0007,20240101,PRCP,0,,,N,700.0
US1CASA0007,20240101,SNOW,0,,,N,700.0
US1CASA0008,20240101,PRCP,0,,,N,700.0
US1CASA0008,20240101,SNOW,0,,,N,700.0
US1CASA0012,20240101,PRCP,0,,,N,700.0
US1CASA0012,20240101,SNOW,0,,,N,700.0
US1CASA0029,20240101,PRCP,0,,,N,700.0
US1CASA0029,20240101,SNOW,0,,,N,700.0
US1CASA0030,20240101,PRCP,0,,,N,700.0
US1CASA0030,20240101,SNOW,0,,,N,700.0
US1CASA0045,20240101,PRCP,0,,,N,900.0
US1CASA0045,20240101,SNOW,0,,,N,900.0
US1CASA0058,20240101,PRCP,0,,,N,800.0
US1CASA0058,20240101,SNOW,0,,,N,800.0
US1CASA0061,20240101,PRCP,0,,,N,700.0
US1CASA0061,20240101,SNOW,0,,,N,700.0
US1CASA0070,20240101,PRCP,0,,,N,800.0
US1CASA0070,20240101,SNOW,0,,,N,800.0
US1CASA0074,20240101,PRCP,0,,,N,700.0
US1CASA0074,20240101,SNOW,0,,,N,700.0
US1CASA0076,20240101,PRCP,0,,,N,900.0
US1CASA0076,20240101,SNOW,0,,,N,900.0
US1CASA0082,20240101,PRCP,0,,,N,830.0
US1CASA0082,20240101,SNOW,0,,,N,830.0
US1CASB0001,20240101,PRCP,3,,,N,700.0
US1CASB0005,20240101,PRCP,0,,,N,800.0
US1CASB0005,20240101,SNOW,0,,,N,800.0
US1CASB0007,20240101,PRCP,0,,,N,700.0
US1CASB0007,20240101,SNOW,0,,,N,700.0
US1CASB0023,20240101,PRCP,0,,,N,700.0
US1CASB0023,20240101,SNOW,0,,,N,700.0
US1CASC0003,20240101,PRCP,0,,,N,700.0
US1CASC0003,20240101,SNOW,0,,,N,700.0
US1CASC0005,20240101,PRCP,0,,,N,700.0
US1CASC0005,20240101,SNOW,0,,,N,700.0
US1CASC0015,20240101,PRCP,0,T,,N,800.0
US1CASC0032,20240101,PRCP,3,,,N,700.0
US1CASC0040,20240101,PRCP,0,,,N,700.0
US1CASC0040,20240101,SNOW,0,,,N,700.0
US1CASC0041,20240101,PRCP,3,,,N,800.0
US1CASC0042,20240101,PRCP,0,,,N,640.0
US1CASC0042,20240101,SNOW,0,,,N,640.0
US1CASC0045,20240101,PRCP,3,,,N,700.0
US1CASC0052,20240101,PRCP,3,,,N,800.0
US1CASC0053,20240101,PRCP,0,,,N,830.0
US1CASC0053,20240101,SNOW,0,,,N,830.0
US1CASC0054,20240101,PRCP,3,,,N,858.0
US1CASC0064,20240101,PRCP,3,,,N,800.0
US1CASC0069,20240101,DAPR,5,,,N,700.0
US1CASC0069,20240101,MDPR,254,,,N,700.0
US1CASC0070,20240101,PRCP,0,,,N,600.0
US1CASC0070,20240101,SNOW,0,,,N,600.0
US1CASC0075,20240101,PRCP,0,,,N,700.0
US1CASC0075,20240101,SNOW,0,,,N,700.0
US1CASD0001,20240101,PRCP,0,,,N,700.0
US1CASD0001,20240101,SNOW,0,,,N,700.0
US1CASD0006,20240101,PRCP,3,,,N,700.0
US1CASD0007,20240101,PRCP,0,,,N,800.0
US1CASD0007,20240101,SNOW,0,,,N,800.0
US1CASD0009,20240101,PRCP,0,,,N,2359.0
US1CASD0009,20240101,SNOW,0,,,N,2359.0
US1CASD0011,20240101,PRCP,0,,,N,800.0
US1CASD0011,20240101,SNOW,0,,,N,800.0
US1CASD0012,20240101,PRCP,3,,,N,700.0
US1CASD0018,20240101,PRCP,0,,,N,700.0
US1CASD0018,20240101,SNOW,0,,,N,700.0
